Ticker,Date,Bloomberg ESG Score,Bloomberg Environmental Pillar,Bloomberg Governance Pillar,Bloomberg Social Pillar,S&P Global ESG Rank,S&P Global Governance & Economic Dimension Rank,S&P Global Environmental Dimension Rank,S&P Global Social Dimension Rank,Month,Year,Price,Credit Risk Indicator,Beta,Alpha,Issuer Default Risk,30 Day Volatility,P/E Ratio,Revenue,Market Cap,Historical Market Cap,EPS,Yahoo Finance ESG Score,Yahoo Finance Environmental Score,Yahoo Finance Social Score,Yahoo Finance Governance Score,Monthly Return,GICS Sector,GICS Industry,GICS Industry Group,GICS Sub-Industry,Lasso Model
SNI,2017-08-31,,,,,10.0,31.0,29.0,2.0,8,2017,85.65,IG2,1.9933,-0.8135,IG1,18.635,15.4983,925.046,11118.4609,8865.7815,1.8,51.0,68.0,55.0,41.0,-0.0201349959958814,Communication Services,Media,Media & Entertainment,Broadcasting,-0.0280606467395235
SNI,2017-08-31,,,,,10.0,31.0,29.0,2.0,8,2017,85.65,IG2,1.9933,-0.8135,IG1,18.635,15.4983,925.046,11118.4609,8865.7815,1.8,51.0,68.0,55.0,41.0,-0.0201349959958814,Communication Services,Media,Media & Entertainment,Broadcasting,-0.0280652541713191
SNI,2017-09-30,,,,,10.0,31.0,29.0,2.0,9,2017,85.89,IG2,1.941,-0.9307,IG1,4.574,16.1273,925.046,11149.616,8865.7815,1.8,51.0,63.0,55.0,42.0,0.0028021015761821,Communication Services,Media,Media & Entertainment,Broadcasting,-0.0280698616031146
SNI,2017-09-30,,,,,10.0,31.0,29.0,2.0,9,2017,85.89,IG2,1.941,-0.9307,IG1,4.574,16.1273,925.046,11149.616,8865.7815,1.8,51.0,63.0,55.0,42.0,0.0028021015761821,Communication Services,Media,Media & Entertainment,Broadcasting,-0.0280744690349102
SNI,2017-10-31,,,,,12.0,41.0,33.0,2.0,10,2017,83.28,IG2,1.8092,-1.0875,IG1,6.968,15.6372,825.525,10818.0723,11158.015,0.95,51.0,63.0,55.0,42.0,-0.030387705204331,Communication Services,Media,Media & Entertainment,Broadcasting,-0.0280790764667057
SNI,2017-10-31,,,,,12.0,41.0,33.0,2.0,10,2017,83.28,IG2,1.8092,-1.0875,IG1,6.968,15.6372,825.525,10818.0723,11158.015,0.95,51.0,63.0,55.0,42.0,-0.030387705204331,Communication Services,Media,Media & Entertainment,Broadcasting,-0.0280836838985013
SNI,2017-11-30,,,,,12.0,41.0,33.0,2.0,11,2017,81.84,IG2,1.6388,-1.105,IG1,16.324,15.3668,825.525,10632.2947,11158.015,0.95,51.0,63.0,55.0,42.0,-0.0172910662824207,Communication Services,Media,Media & Entertainment,Broadcasting,-0.0280882913302968
SNI,2017-11-30,,,,,12.0,41.0,33.0,2.0,11,2017,81.84,IG2,1.6388,-1.105,IG1,16.324,15.3668,825.525,10632.2947,11158.015,0.95,51.0,63.0,55.0,42.0,-0.0172910662824207,Communication Services,Media,Media & Entertainment,Broadcasting,-0.0280928987620924
SNI,2017-12-31,,,,,12.0,41.0,33.0,2.0,12,2017,85.38,IG2,1.6232,-0.9085,IG1,13.443,14.8278,825.525,11092.196,11158.015,0.95,50.0,63.0,55.0,42.0,0.0432551319648093,Communication Services,Media,Media & Entertainment,Broadcasting,-0.0280975061938879
SNI,2017-12-31,,,,,12.0,41.0,33.0,2.0,12,2017,85.38,IG2,1.6232,-0.9085,IG1,13.443,14.8278,825.525,11092.196,11158.015,0.95,50.0,63.0,55.0,42.0,0.0432551319648093,Communication Services,Media,Media & Entertainment,Broadcasting,-0.0281021136256835
